audiofilepath,transcript,phoneme_scores
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010011.WAV,WE CALL IT BEAR,w/2.0 i/2.0 k/2.0 ɔ/1.8 l/1.8 ɪ/2.0 t/2.0 b/2.0 ɛ/1.0 ɹ/1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010035.WAV,ZERO THREE FIVE ONE,z/2.0 ɪ/1.4 ɹ/1.4 oʊ/2.0 θ/1.2 ɹ/2.0 i/2.0 f/2.0 aɪ/2.0 v/1.8 w/2.0 ə/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010053.WAV,THREE TWO TWO SEVEN,θ/1.8 ɹ/2.0 i/2.0 t/2.0 u/1.8 t/2.0 u/1.8 s/2.0 ɛ/2.0 v/2.0 n/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010063.WAV,ELEPHANTS TAI GOOSE,ɛ/2.0 l/2.0 ɪ/2.0 f/2.0 ə/1.8 n/2.0 t/2.0 s/2.0 t/2.0 aɪ/2.0 ɡ/2.0 u/2.0 s/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010069.WAV,TOM GIVES UP BOXING,t/2.0 ɑ/2.0 m/2.0 ɡ/2.0 ɪ/2.0 v/2.0 z/1.8 ə/2.0 p/2.0 b/2.0 ɑː/2.0 k/2.0 s/2.0 ɪ/2.0 ŋ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010075.WAV,HE HATES SHOOTING,h/2.0 i/1.8 h/2.0 eɪ/2.0 t/2.0 s/2.0 ʃ/2.0 uː/2.0 t/2.0 ɪ/2.0 ŋ/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010089.WAV,MANDY HAS A BIG ARM,m/2.0 æ/2.0 n/2.0 d/2.0 i/2.0 h/2.0 æ/2.0 z/2.0 ə/2.0 b/2.0 ɪ/2.0 ɡ/2.0 ɑ/2.0 ɹ/1.6 m/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010095.WAV,LOOK AT ANN'S PANTS,l/2.0 ʊ/2.0 k/2.0 æ/2.0 t/2.0 æ/2.0 n/2.0 z/1.4 p/2.0 æ/2.0 n/2.0 t/1.8 s/1.8
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010106.WAV,WHAT ABOUT THE BUS,w/2.0 ə/1.8 t/2.0 ə/2.0 b/2.0 aʊ/2.0 t/2.0 ð/2.0 ə/2.0 b/2.0 ə/2.0 s/2.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010113.WAV,THEN HE WENT TO THEME PARK,ð/2.0 ɛ/2.0 n/2.0 h/1.0 i/2.0 w/2.0 ɛ/2.0 n/2.0 t/2.0 t/2.0 u/2.0 θ/1.2 i/0.0 m/1.6 p/2.0 ɑ/2.0 ɹ/1.8 k/2.0
