id,audio_path,transcript,sentence_chosen,sentence_rejected,chosen,rejected,dpo_weight
10011,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010011.WAV,WE CALL IT BEAR,Good,Excellent,WE/Excellent CALL/Excellent IT/Excellent BEAR/Average,WE/Good CALL/Good IT/Good BEAR/Good,1.5
10035,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010035.WAV,ZERO THREE FIVE ONE,Good,Average,ZERO/Good THREE/Good FIVE/Excellent ONE/Excellent,ZERO/Average THREE/Excellent FIVE/Good ONE/Good,1.5
10053,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010053.WAV,THREE TWO TWO SEVEN,Excellent,Good,THREE/Excellent TWO/Excellent TWO/Excellent SEVEN/Excellent,THREE/Good TWO/Good TWO/Good SEVEN/Good,1.5
10063,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010063.WAV,ELEPHANTS TAI GOOSE,Excellent,Good,ELEPHANTS/Excellent TAI/Excellent GOOSE/Excellent,ELEPHANTS/Good TAI/Good GOOSE/Good,1.5
10069,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010069.WAV,TOM GIVES UP BOXING,Excellent,Good,TOM/Excellent GIVES/Excellent UP/Excellent BOXING/Excellent,TOM/Good GIVES/Good UP/Good BOXING/Good,1.5
10075,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010075.WAV,HE HATES SHOOTING,Excellent,Good,HE/Excellent HATES/Excellent SHOOTING/Excellent,HE/Good HATES/Good SHOOTING/Good,1.5
10089,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010089.WAV,MANDY HAS A BIG ARM,Excellent,Good,MANDY/Excellent HAS/Excellent A/Excellent BIG/Excellent ARM/Excellent,MANDY/Good HAS/Good A/Good BIG/Good ARM/Good,1.5
10095,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010095.WAV,LOOK AT ANN'S PANTS,Excellent,Good,LOOK/Excellent AT/Excellent ANN'S/Good PANTS/Excellent,LOOK/Good AT/Good ANN'S/Excellent PANTS/Good,1.5
10106,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010106.WAV,WHAT ABOUT THE BUS,Excellent,Good,WHAT/Excellent ABOUT/Excellent THE/Excellent BUS/Excellent,WHAT/Good ABOUT/Good THE/Good BUS/Good,1.5
10113,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010113.WAV,THEN HE WENT TO THEME PARK,Average,Good,THEN/Excellent HE/Good WENT/Excellent TO/Excellent THEME/Bad PARK/Excellent,THEN/Good HE/Excellent WENT/Good TO/Good THEME/Good PARK/Good,1.5
10115,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010115.WAV,LET'S GO TO THE RESTROOM,Excellent,Good,LET'S/Excellent GO/Excellent TO/Excellent THE/Excellent RESTROOM/Excellent,LET'S/Good GO/Good TO/Good THE/Good RESTROOM/Good,1.5
10121,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010121.WAV,THEN MIKE WALKS TO COFFEE,Excellent,Good,THEN/Excellent MIKE/Excellent WALKS/Excellent TO/Excellent COFFEE/Excellent,THEN/Good MIKE/Good WALKS/Good TO/Good COFFEE/Good,1.5
10122,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010122.WAV,SO MARY WENT ON TO STUDY,Excellent,Good,SO/Excellent MARY/Excellent WENT/Excellent ON/Excellent TO/Excellent STUDY/Excellent,SO/Good MARY/Good WENT/Good ON/Good TO/Good STUDY/Good,1.5
10133,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010133.WAV,KATE GOT THE TOMATO,Good,Excellent,KATE/Good GOT/Excellent THE/Excellent TOMATO/Good,KATE/Excellent GOT/Good THE/Good TOMATO/Excellent,1.5
10135,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010135.WAV,TINA LOVES EGGPLANT,Good,Excellent,TINA/Excellent LOVES/Excellent EGGPLANT/Excellent,TINA/Good LOVES/Good EGGPLANT/Good,1.5
10140,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010140.WAV,DORA IS NOT A CLEANER,Good,Average,DORA/Excellent IS/Excellent NOT/Excellent A/Excellent CLEANER/Excellent,DORA/Good IS/Good NOT/Good A/Good CLEANER/Good,1.5
10145,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010145.WAV,MARK LIVED IN NEW YORK,Excellent,Good,MARK/Excellent LIVED/Excellent IN/Excellent NEW/Excellent YORK/Excellent,MARK/Good LIVED/Good IN/Good NEW/Good YORK/Good,1.5
10149,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010149.WAV,BOB LIVES IN CAIRO NOW,Good,Excellent,BOB/Excellent LIVES/Excellent IN/Excellent CAIRO/Good NOW/Excellent,BOB/Good LIVES/Good IN/Good CAIRO/Average NOW/Good,1.5
10168,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010168.WAV,BYE,Excellent,Good,BYE/Excellent,BYE/Good,1.5
10173,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010173.WAV,TREES,Excellent,Good,TREES/Good,TREES/Excellent,1.5
50003,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050003.WAV,MIKE LIKES THE WHITE ONE,Good,Excellent,MIKE/Excellent LIKES/Excellent THE/Excellent WHITE/Excellent ONE/Excellent,MIKE/Good LIKES/Good THE/Good WHITE/Good ONE/Good,1.5
