audio_path,transcript,chosen,rejected,dpo_weight
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010011.WAV,WE CALL IT BEAR,w/Excellent i/Excellent k/Excellent ɔ/Good l/Good ɪ/Excellent t/Excellent b/Excellent ɛ/Average ɹ/Average,w/Good i/Good k/Good ɔ/Average l/Excellent ɪ/Good t/Good b/Good ɛ/Good ɹ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010035.WAV,ZERO THREE FIVE ONE,z/Excellent ɪ/Average ɹ/Average oʊ/Excellent θ/Average ɹ/Excellent i/Excellent f/Excellent aɪ/Excellent v/Good w/Excellent ə/Excellent n/Excellent,z/Good ɪ/Good ɹ/Good oʊ/Good θ/Good ɹ/Good i/Good f/Good aɪ/Good v/Average w/Good ə/Good n/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010053.WAV,THREE TWO TWO SEVEN,θ/Good ɹ/Excellent i/Excellent t/Excellent u/Good t/Excellent u/Good s/Excellent ɛ/Excellent v/Excellent n/Excellent,θ/Excellent ɹ/Good i/Good t/Good u/Average t/Good u/Excellent s/Good ɛ/Good v/Good n/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010063.WAV,ELEPHANTS TAI GOOSE,ɛ/Excellent l/Excellent ɪ/Excellent f/Excellent ə/Good n/Excellent t/Excellent s/Excellent t/Excellent aɪ/Excellent ɡ/Excellent u/Excellent s/Excellent,ɛ/Good l/Good ɪ/Good f/Good ə/Average n/Good t/Good s/Good t/Good aɪ/Good ɡ/Good u/Good s/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010069.WAV,TOM GIVES UP BOXING,t/Excellent ɑ/Excellent m/Excellent ɡ/Excellent ɪ/Excellent v/Excellent z/Good ə/Excellent p/Excellent b/Excellent ɑː/Excellent k/Excellent s/Excellent ɪ/Excellent ŋ/Excellent,t/Good ɑ/Good m/Good ɡ/Good ɪ/Good v/Good z/Excellent ə/Good p/Good b/Good ɑː/Good k/Good s/Good ɪ/Good ŋ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010075.WAV,HE HATES SHOOTING,h/Excellent i/Good h/Excellent eɪ/Excellent t/Excellent s/Excellent ʃ/Excellent uː/Excellent t/Excellent ɪ/Excellent ŋ/Excellent,h/Good i/Excellent h/Good eɪ/Good t/Good s/Good ʃ/Good uː/Good t/Good ɪ/Good ŋ/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010089.WAV,MANDY HAS A BIG ARM,m/Excellent æ/Excellent n/Excellent d/Excellent i/Excellent h/Excellent æ/Excellent z/Excellent ə/Excellent b/Excellent ɪ/Excellent ɡ/Excellent ɑ/Excellent ɹ/Good m/Excellent,m/Good æ/Good n/Good d/Good i/Good h/Good æ/Good z/Good ə/Good b/Good ɪ/Good ɡ/Good ɑ/Good ɹ/Average m/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010095.WAV,LOOK AT ANN'S PANTS,l/Excellent ʊ/Excellent k/Excellent æ/Excellent t/Excellent æ/Excellent n/Excellent z/Average p/Excellent æ/Excellent n/Excellent t/Good s/Good,l/Good ʊ/Good k/Good æ/Good t/Good æ/Good n/Good z/Good p/Good æ/Good n/Good t/Average s/Excellent,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010106.WAV,WHAT ABOUT THE BUS,w/Excellent ə/Good t/Excellent ə/Excellent b/Excellent aʊ/Excellent t/Excellent ð/Excellent ə/Excellent b/Excellent ə/Excellent s/Excellent,w/Good ə/Average t/Good ə/Good b/Good aʊ/Good t/Good ð/Good ə/Good b/Good ə/Good s/Good,1.0
/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010113.WAV,THEN HE WENT TO THEME PARK,ð/Excellent ɛ/Excellent n/Excellent h/Average i/Excellent w/Excellent ɛ/Excellent n/Excellent t/Excellent t/Excellent u/Excellent θ/Average i/Worst m/Good p/Excellent ɑ/Excellent ɹ/Good k/Excellent,ð/Good ɛ/Good n/Good h/Bad i/Good w/Good ɛ/Good n/Good t/Good t/Good u/Good θ/Good i/Bad m/Excellent p/Good ɑ/Good ɹ/Excellent k/Good,1.0
