id,audio_path,transcript,accuracy,accuracy_5scale,rejected_label,label_num,rejected_label_num
10011,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010011.WAV,WE CALL IT BEAR,8,Good,Average,4,3
10035,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010035.WAV,ZERO THREE FIVE ONE,8,Good,Average,4,3
10053,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010053.WAV,THREE TWO TWO SEVEN,9,Excellent,Average,5,3
10063,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010063.WAV,ELEPHANTS TAI GOOSE,10,Excellent,Good,5,4
10069,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010069.WAV,TOM GIVES UP BOXING,9,Excellent,Good,5,4
10075,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010075.WAV,HE HATES SHOOTING,9,Excellent,Average,5,3
10089,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010089.WAV,MANDY HAS A BIG ARM,10,Excellent,Good,5,4
10095,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010095.WAV,LOOK AT ANN'S PANTS,10,Excellent,Good,5,4
10106,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010106.WAV,WHAT ABOUT THE BUS,9,Excellent,Good,5,4
10113,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010113.WAV,THEN HE WENT TO THEME PARK,6,Fair,Bad,3,2
10115,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010115.WAV,LET'S GO TO THE RESTROOM,9,Excellent,Good,5,4
10121,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010121.WAV,THEN MIKE WALKS TO COFFEE,9,Excellent,Average,5,3
10122,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010122.WAV,SO MARY WENT ON TO STUDY,9,Excellent,Good,5,4
10133,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010133.WAV,KATE GOT THE TOMATO,8,Good,Average,4,3
10135,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010135.WAV,TINA LOVES EGGPLANT,8,Good,Average,4,3
10140,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010140.WAV,DORA IS NOT A CLEANER,8,Good,Excellent,4,5
10145,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010145.WAV,MARK LIVED IN NEW YORK,9,Excellent,Good,5,4
10149,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010149.WAV,BOB LIVES IN CAIRO NOW,8,Good,Excellent,4,5
10168,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010168.WAV,BYE,10,Excellent,Average,5,3
10173,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0001/000010173.WAV,TREES,9,Excellent,Good,5,4
50003,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050003.WAV,MIKE LIKES THE WHITE ONE,8,Good,Average,4,3
50010,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050010.WAV,ITS NAME IS SAY,7,Good,Excellent,4,5
50024,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050024.WAV,BILLY LOVES AMERICA,7,Good,Worst,4,1
50028,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050028.WAV,TWO TWO EIGHT SEVEN,8,Good,Bad,4,2
50038,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050038.WAV,FOUR FIVE FOUR SEVEN,7,Good,Average,4,3
50040,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050040.WAV,FIVE THREE NINE ZERO,8,Good,Excellent,4,5
50047,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050047.WAV,SIX FIVE THREE,7,Good,Average,4,3
50049,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050049.WAV,TWO FIVE EIGHT,7,Good,Excellent,4,5
50055,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050055.WAV,WE LESS MEAT,9,Excellent,Good,5,4
50078,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050078.WAV,DOSE MIKE LIKE THE HAMBURGER,7,Good,Average,4,3
50079,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050079.WAV,ANNIE WANT HAVE SOME PRETTIES,7,Good,Average,4,3
50083,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050083.WAV,KATE'S GOT SOME GREY,6,Fair,Worst,3,1
50095,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050095.WAV,LOOK AT JOHN'S SWEATER,7,Good,Excellent,4,5
50099,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050099.WAV,TIM HAS A BEAUTIFUL TELL,7,Good,Excellent,4,5
50100,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050100.WAV,JIM LIKES YOUR BLUE SHORE,8,Good,Average,4,3
50114,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050114.WAV,ANNIE WENT WALKING THEM PARK,8,Good,Excellent,4,5
50118,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050118.WAV,LAYLA CAN SEE THE HOMETOWN,6,Fair,Good,3,4
50122,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050122.WAV,SO TINA WENT ON TO WASHROOM,6,Fair,Bad,3,2
50174,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050174.WAV,ALL WITH HIM,8,Good,Excellent,4,5
50175,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0005/000050175.WAV,GOOD JOB,9,Excellent,Good,5,4
60015,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060015.WAV,JAYME IS GOING TO SEE HEN,9,Excellent,Good,5,4
60020,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060020.WAV,DORA IS COME FROM JAPAN,9,Excellent,Average,5,3
60029,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060029.WAV,SIX ONE SIX ZERO,9,Excellent,Good,5,4
60031,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060031.WAV,FIVE TWO FOUR SEVEN,9,Excellent,Good,5,4
60049,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060049.WAV,ZERO THREE FIVE,8,Good,Average,4,3
60056,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060056.WAV,PHONE PARTS TICKETS,10,Excellent,Average,5,3
60077,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060077.WAV,ANN ATE A LITTLE DOG,9,Excellent,Good,5,4
60081,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060081.WAV,DOES LAYLA LIKE THE JAM,10,Excellent,Good,5,4
60082,/vol/tensusers8/aparikh/hf_cache/so/speechocean762/WAVE/SPEAKER0006/000060082.WAV,KATE LIKES LAMB,9,Excellent,Good,5,4
