audiofilepath,transcript,phoneme_scores
/path/to/wavs/000010011.wav,WE CALL IT BEAR,w/2.0 i/2.0 k/2.0 ɔ/1.8 l/1.8 ɪ/2.0 t/2.0 b/2.0 ɛ/1.0 ɹ/1.0
/path/to/wavs/000010035.wav,ZERO THREE FIVE ONE,z/2.0 ɪ/1.4 ɹ/1.4 oʊ/2.0 θ/1.2 ɹ/2.0 i/2.0 f/2.0 aɪ/2.0 v/1.8 w/2.0 ə/2.0 n/2.0
/path/to/wavs/000010053.wav,THREE TWO TWO SEVEN,θ/1.8 ɹ/2.0 i/2.0 t/2.0 u/1.8 t/2.0 u/1.8 s/2.0 ɛ/2.0 v/2.0 n/2.0
/path/to/wavs/000010063.wav,ELEPHANTS TAI GOOSE,ɛ/2.0 l/2.0 ɪ/2.0 f/2.0 ə/1.8 n/2.0 t/2.0 s/2.0 t/2.0 aɪ/2.0 ɡ/2.0 u/2.0 s/2.0
/path/to/wavs/000010069.wav,TOM GIVES UP BOXING,t/2.0 ɑ/2.0 m/2.0 ɡ/2.0 ɪ/2.0 v/2.0 z/1.8 ə/2.0 p/2.0 b/2.0 ɑː/2.0 k/2.0 s/2.0 ɪ/2.0 ŋ/2.0
/path/to/wavs/000010075.wav,HE HATES SHOOTING,h/2.0 i/1.8 h/2.0 eɪ/2.0 t/2.0 s/2.0 ʃ/2.0 uː/2.0 t/2.0 ɪ/2.0 ŋ/2.0
/path/to/wavs/000010089.wav,MANDY HAS A BIG ARM,m/2.0 æ/2.0 n/2.0 d/2.0 i/2.0 h/2.0 æ/2.0 z/2.0 ə/2.0 b/2.0 ɪ/2.0 ɡ/2.0 ɑ/2.0 ɹ/1.6 m/2.0
/path/to/wavs/000010095.wav,LOOK AT ANN'S PANTS,l/2.0 ʊ/2.0 k/2.0 æ/2.0 t/2.0 æ/2.0 n/2.0 z/1.4 p/2.0 æ/2.0 n/2.0 t/1.8 s/1.8
/path/to/wavs/000010106.wav,WHAT ABOUT THE BUS,w/2.0 ə/1.8 t/2.0 ə/2.0 b/2.0 aʊ/2.0 t/2.0 ð/2.0 ə/2.0 b/2.0 ə/2.0 s/2.0
/path/to/wavs/000010113.wav,THEN HE WENT TO THEME PARK,ð/2.0 ɛ/2.0 n/2.0 h/1.0 i/2.0 w/2.0 ɛ/2.0 n/2.0 t/2.0 t/2.0 u/2.0 θ/1.2 i/0.0 m/1.6 p/2.0 ɑ/2.0 ɹ/1.8 k/2.0
/path/to/wavs/000010115.wav,LET'S GO TO THE RESTROOM,l/2.0 ɛ/2.0 t/2.0 s/2.0 ɡ/2.0 oʊ/2.0 t/2.0 u/2.0 ð/2.0 ə/2.0 ɹ/2.0 ɛ/2.0 s/2.0 t/2.0 ɹ/2.0 u/2.0 m/1.8
/path/to/wavs/000010121.wav,THEN MIKE WALKS TO COFFEE,ð/2.0 ɛ/2.0 n/2.0 m/2.0 aɪ/2.0 k/2.0 w/2.0 ɔ/1.8 k/2.0 s/2.0 t/2.0 u/2.0 k/2.0 ɔː/1.2 f/1.6 i/1.6
/path/to/wavs/000010122.wav,SO MARY WENT ON TO STUDY,s/2.0 oʊ/2.0 m/2.0 æ/2.0 ɹ/2.0 ɪ/2.0 w/2.0 ɛ/2.0 n/2.0 t/2.0 ɑ/2.0 n/2.0 t/2.0 u/2.0 s/2.0 t/2.0 ʌ/1.8 d/2.0 i/2.0
/path/to/wavs/000010133.wav,KATE GOT THE TOMATO,k/2.0 ɛ/1.6 t/1.8 ɡ/2.0 ɑ/1.6 t/2.0 ð/2.0 ə/2.0 t/2.0 ə/2.0 m/2.0 eɪ/1.0 t/1.8 oʊ/2.0
/path/to/wavs/000010135.wav,TINA LOVES EGGPLANT,t/2.0 iː/2.0 n/2.0 ə/2.0 l/2.0 ə/2.0 v/2.0 z/1.6 ɛ/1.6 ɡ/2.0 p/2.0 l/2.0 æ/2.0 n/2.0 t/2.0
/path/to/wavs/000010140.wav,DORA IS NOT A CLEANER,d/2.0 ɔː/1.8 ɹ/2.0 ə/2.0 ɪ/2.0 z/2.0 n/2.0 ɑ/1.6 t/2.0 ə/2.0 k/2.0 l/2.0 iː/2.0 n/2.0 ɚ/2.0
/path/to/wavs/000010145.wav,MARK LIVED IN NEW YORK,m/2.0 ɑ/2.0 ɹ/1.8 k/1.6 l/2.0 ɪ/2.0 v/2.0 d/2.0 ɪ/2.0 n/2.0 n/2.0 u/2.0 j/2.0 ɔ/2.0 k/2.0
/path/to/wavs/000010149.wav,BOB LIVES IN CAIRO NOW,b/2.0 ɑ/1.4 b/2.0 l/2.0 ɪ/2.0 v/2.0 z/1.6 ɪ/2.0 n/2.0 k/2.0 aɪ/1.6 ɹ/1.6 oʊ/1.4 n/2.0 aʊ/2.0
/path/to/wavs/000010168.wav,BYE,b/2.0 aɪ/2.0
/path/to/wavs/000010173.wav,TREES,t/2.0 ɹ/2.0 i/2.0 z/1.2
/path/to/wavs/000050003.wav,MIKE LIKES THE WHITE ONE,m/2.0 aɪ/2.0 k/2.0 l/2.0 aɪ/2.0 k/2.0 s/2.0 ð/1.6 ə/2.0 w/2.0 aɪ/2.0 t/2.0 w/2.0 ə/2.0 n/2.0
/path/to/wavs/000050010.wav,ITS NAME IS SAY,ɪ/2.0 t/2.0 s/2.0 n/2.0 eɪ/2.0 m/2.0 ɪ/0.8 z/1.4 s/2.0 eɪ/1.4
/path/to/wavs/000050024.wav,BILLY LOVES AMERICA,b/2.0 ɪ/2.0 l/2.0 i/2.0 l/2.0 ə/2.0 v/1.8 z/1.4 ə/2.0 m/2.0 ɛ/2.0 ɹ/2.0 ɪ/2.0 k/1.2 ə/2.0
/path/to/wavs/000050028.wav,TWO TWO EIGHT SEVEN,t/2.0 u/1.8 t/2.0 u/1.8 eɪ/2.0 t/2.0 s/2.0 ɛ/2.0 v/1.8 n/2.0
/path/to/wavs/000050038.wav,FOUR FIVE FOUR SEVEN,f/2.0 ɔ/2.0 ɹ/1.8 f/2.0 aɪ/2.0 v/1.8 f/2.0 ɔ/2.0 ɹ/1.8 s/2.0 ɛ/1.8 v/1.8 n/2.0
/path/to/wavs/000050040.wav,FIVE THREE NINE ZERO,f/2.0 aɪ/2.0 v/1.6 θ/1.6 ɹ/2.0 i/1.8 n/2.0 aɪ/2.0 n/2.0 z/2.0 ɪ/1.8 ʌ/1.8 oʊ/2.0
/path/to/wavs/000050047.wav,SIX FIVE THREE,s/2.0 ɪ/2.0 k/2.0 s/2.0 f/2.0 aɪ/2.0 v/1.8 θ/1.4 ɹ/2.0 i/2.0
/path/to/wavs/000050049.wav,TWO FIVE EIGHT,t/2.0 u/2.0 f/2.0 aɪ/2.0 v/1.4 eɪ/2.0 t/1.8
/path/to/wavs/000050055.wav,WE LESS MEAT,w/2.0 i/2.0 l/2.0 ɛ/1.6 s/2.0 m/2.0 i/2.0 t/2.0
